Time,accX,accY,accZ
39.182752,-55.0,65.0,1026.0
39.18942,-51.0,65.0,1036.0
39.196084,-52.0,62.0,1027.0
39.202752,-49.0,70.0,1019.0
39.209416,-51.0,71.0,1016.0
39.216083999999995,-47.0,67.0,1018.0
39.222747999999996,-55.0,61.0,1018.0
39.229416,-45.0,62.0,1008.0
39.23608,-47.0,60.0,1005.0
39.242744,-47.0,59.0,1006.0
39.249416,-47.0,63.0,1005.0
39.256076,-49.0,65.0,1010.0
39.262744,-51.0,68.0,999.0
39.269411999999996,-52.0,68.0,997.0
39.276075999999996,-51.0,62.0,1001.0
39.282744,-50.0,62.0,1003.0
39.289408,-49.0,71.0,1002.0
39.296076,-49.0,62.0,1013.0
39.30274,-51.0,72.0,1006.0
39.309408,-48.0,64.0,1017.0
39.316075999999995,-46.0,60.0,1014.0
39.322739999999996,-49.0,70.0,1029.0
39.329404,-54.0,68.0,1017.0
39.336072,-51.0,60.0,1034.0
39.342735999999995,-51.0,60.0,1029.0
39.349404,-49.0,72.0,1029.0
39.356068,-56.0,62.0,1037.0
39.362732,-54.0,65.0,1032.0
39.3694,-53.0,65.0,1034.0
39.376059999999995,-52.0,65.0,1040.0
39.382732,-54.0,69.0,1038.0
39.389392,-51.0,65.0,1024.0
39.396063999999996,-56.0,69.0,1022.0
39.402727999999996,-58.0,72.0,1033.0
39.4094,-52.0,76.0,1024.0
39.41606,-55.0,64.0,1023.0
39.422731999999996,-50.0,64.0,1012.0
39.429387999999996,-51.0,63.0,1023.0
39.436064,-51.0,68.0,1020.0
39.44272,-53.0,64.0,1012.0
39.449396,-48.0,69.0,1014.0
39.456052,-49.0,63.0,1015.0
39.462728,-48.0,64.0,1010.0
39.469384,-52.0,63.0,1008.0
39.476056,-52.0,61.0,1006.0
39.48272,-47.0,63.0,999.0
39.489391999999995,-53.0,69.0,1005.0
39.496055999999996,-49.0,66.0,1002.0
39.502724,-48.0,64.0,1009.0
39.509384,-49.0,63.0,1013.0
39.516056,-50.0,63.0,1008.0
39.522715999999996,-51.0,65.0,1006.0
39.529388,-53.0,62.0,1018.0
39.536052,-49.0,66.0,1016.0
39.542716,-49.0,71.0,1024.0
39.549383999999996,-54.0,71.0,1019.0
39.556048,-50.0,67.0,1028.0
39.562716,-57.0,66.0,1026.0
39.569384,-55.0,72.0,1033.0
39.576048,-55.0,65.0,1032.0
39.582712,-57.0,67.0,1031.0
39.58938,-54.0,61.0,1033.0
39.596047999999996,-55.0,73.0,1038.0
39.602712,-56.0,66.0,1029.0
39.609376,-50.0,67.0,1033.0
39.616043999999995,-54.0,68.0,1026.0
39.622712,-51.0,66.0,1028.0
39.629376,-55.0,62.0,1021.0
39.63604,-55.0,61.0,1028.0
39.642708,-59.0,57.0,1020.0
39.649376,-52.0,68.0,1017.0
39.65604,-54.0,65.0,1007.0
39.662707999999995,-49.0,64.0,1003.0
39.669371999999996,-48.0,63.0,1008.0
39.676035999999996,-53.0,68.0,1014.0
39.682704,-48.0,66.0,998.0
39.689372,-47.0,63.0,1002.0
39.696036,-47.0,65.0,1008.0
39.702695999999996,-51.0,66.0,1004.0
39.709368,-51.0,63.0,1003.0
39.716028,-52.0,68.0,1008.0
39.722699999999996,-50.0,64.0,1001.0
