"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)",omegaa
4.685058590E-1,1.026306152E0,-1.105667114E0,3.270568848E-1,1.543622458E0
4.708862300E-1,1.105712891E0,-1.153305054E0,3.374481201E-1,1.632968088E0
4.732666010E-1,1.187561035E0,-1.195449829E0,3.453826904E-1,1.720084506E0
4.756774900E-1,1.269424438E0,-1.233947754E0,3.502655029E-1,1.804647164E0
4.780578610E-1,1.350662231E0,-1.265106201E0,3.551483154E-1,1.884386502E0
4.804382320E-1,1.432525635E0,-1.290145874E0,3.594360352E-1,1.961071221E0
4.828491210E-1,1.515609741E0,-1.310302734E0,3.637084961E-1,2.036234273E0
4.852294920E-1,1.598083496E0,-1.323135376E0,3.673706055E-1,2.107016669E0
4.876098630E-1,1.682373047E0,-1.332305908E0,3.698120117E-1,2.177654478E0
4.900207520E-1,1.766677856E0,-1.333526611E0,3.728637695E-1,2.244653929E0
4.924011230E-1,1.850372314E0,-1.328628540E0,3.777618408E-1,2.309076765E0
4.947814940E-1,1.931610107E0,-1.317642212E0,3.838653564E-1,2.369525526E0
4.971923820E-1,2.014083862E0,-1.299911499E0,3.893737793E-1,2.428562466E0
4.995727540E-1,2.095932007E0,-1.277923584E0,3.973083496E-1,2.486739550E0
5.019531250E-1,2.177185059E0,-1.250442505E0,4.058532715E-1,2.543316362E0
5.043640130E-1,2.259048462E0,-1.216842651E0,4.125823975E-1,2.598890191E0
5.067443840E-1,2.342117310E0,-1.178970337E0,4.211273193E-1,2.655716997E0
5.091247560E-1,2.422744751E0,-1.136810303E0,4.266204834E-1,2.709987976E0
5.115356440E-1,2.503997803E0,-1.089782715E0,4.345703125E-1,2.765227426E0
5.139160150E-1,2.584625244E0,-1.040908813E0,4.394531250E-1,2.820797380E0
5.162963860E-1,2.662826538E0,-9.895935059E-1,4.437255859E-1,2.875210057E0
5.187072750E-1,2.742843628E0,-9.358367920E-1,4.492340088E-1,2.932710839E0
5.210876460E-1,2.820419312E0,-8.802490234E-1,4.535064697E-1,2.989192459E0
5.234680170E-1,2.898620605E0,-8.258819580E-1,4.559478760E-1,3.048273427E0
5.258789060E-1,2.974975586E0,-7.678527832E-1,4.614562988E-1,3.106930889E0
5.282592770E-1,3.050720215E0,-7.110443115E-1,4.644927979E-1,3.166738291E0
5.306396480E-1,3.122802734E0,-6.529998779E-1,4.693908691E-1,3.224691233E0
5.330505370E-1,3.197341919E0,-5.980224609E-1,4.742736816E-1,3.287181427E0
5.354309080E-1,3.270645142E0,-5.430450439E-1,4.797821045E-1,3.349956482E0
5.378108090E-1,3.342117310E0,-4.874572754E-1,4.864959717E-1,3.412336595E0
5.401911800E-1,3.412979126E0,-4.361419678E-1,4.925994873E-1,3.475816535E0
5.426020690E-1,3.482009888E0,-3.885040283E-1,4.993286133E-1,3.539019257E0
5.449824400E-1,3.549804688E0,-3.390197754E-1,5.090942383E-1,3.602113917E0
5.473628110E-1,3.615173340E0,-2.944335938E-1,5.182647705E-1,3.663982504E0
5.497737000E-1,3.679916382E0,-2.534942627E-1,5.268096924E-1,3.726066608E0
5.521540710E-1,3.746505737E0,-2.168426514E-1,5.365905762E-1,3.790943869E0
5.545344420E-1,3.808807373E0,-1.826477051E-1,5.494079590E-1,3.852560563E0
5.569453300E-1,3.869903564E0,-1.520996094E-1,5.616302490E-1,3.913402155E0
5.593257020E-1,3.929153442E0,-1.258239746E-1,5.732421875E-1,3.972742762E0
5.617060730E-1,3.989639282E0,-1.007843018E-1,5.879058838E-1,4.033982202E0
5.641169610E-1,4.048278809E0,-8.184814453E-2,6.019439697E-1,4.093604399E0
5.664973320E-1,4.102645874E0,-6.718444824E-2,6.178283691E-1,4.149449218E0
5.688777030E-1,4.158843994E0,-5.679321289E-2,6.355438232E-1,4.207508145E0
5.712885920E-1,4.213211060E0,-4.946899414E-2,6.520385742E-1,4.263654409E0
5.736689630E-1,4.261474609E0,-4.641723633E-2,6.734161377E-1,4.314604235E0
5.760493340E-1,4.312789917E0,-4.885864258E-2,6.948089600E-1,4.368672971E0
5.784602230E-1,4.361648560E0,-5.618286133E-2,7.155761719E-1,4.420314913E0
5.808405940E-1,4.407470703E0,-7.023620605E-2,7.357177734E-1,4.469005680E0
5.832209650E-1,4.452072144E0,-8.612060547E-2,7.601623535E-1,4.517323315E0
5.856318540E-1,4.495437622E0,-1.099395752E-1,7.827606201E-1,4.564401419E0
5.880122250E-1,4.535751343E0,-1.398773193E-1,8.047637939E-1,4.608714644E0
5.903925960E-1,4.576675415E0,-1.759185791E-1,8.267517090E-1,4.654076019E0
5.928034850E-1,4.613937378E0,-2.174530029E-1,8.481292725E-1,4.696278015E0
5.951838560E-1,4.649368286E0,-2.651062012E-1,8.695068359E-1,4.737398959E0
5.975642270E-1,4.683578491E0,-3.194732666E-1,8.890533447E-1,4.777906079E0
5.999751160E-1,4.715347290E0,-3.768920898E-1,9.049377441E-1,4.816166529E0
6.023554870E-1,4.745895386E0,-4.404296875E-1,9.232635498E-1,4.854885880E0
6.047358580E-1,4.775817871E0,-5.082244873E-1,9.391479492E-1,4.893743694E0
6.071467460E-1,4.801483154E0,-5.784759521E-1,9.507598877E-1,4.928774622E0
6.095271180E-1,4.825912476E0,-6.524047852E-1,9.629669189E-1,4.964108028E0
6.119074890E-1,4.854629517E0,-7.318115234E-1,9.745788574E-1,5.005275197E0
6.143183770E-1,4.877227783E0,-8.118286133E-1,9.812927246E-1,5.040768985E0
6.166987480E-1,4.901062012E0,-8.912506104E-1,9.880218506E-1,5.078476511E0
6.190791190E-1,4.921829224E0,-9.724884033E-1,9.922943115E-1,5.114174870E0
6.214900080E-1,4.942596436E0,-1.054351807E0,9.953460693E-1,5.150886434E0
6.238703790E-1,4.963363647E0,-1.139877319E0,9.983978271E-1,5.189518014E0
6.262507500E-1,4.980468750E0,-1.221725464E0,9.983978271E-1,5.224411957E0
6.286311210E-1,4.998184204E0,-1.304199219E0,1.000244141E0,5.261489265E0
6.310420100E-1,5.015289307E0,-1.383605957E0,1.000244141E0,5.297922292E0
6.334223810E-1,5.030548096E0,-1.461791992E0,9.990081787E-1,5.333035469E0
6.358027520E-1,5.043991089E0,-1.539993286E0,9.971771240E-1,5.367288668E0
6.382136410E-1,5.058654785E0,-1.610855103E0,9.977874756E-1,5.401890617E0
6.405940120E-1,5.069656372E0,-1.679275513E0,9.953460693E-1,5.432503638E0
6.429743830E-1,5.081253052E0,-1.743408203E0,9.935150146E-1,5.463119697E0
6.453852720E-1,5.088592529E0,-1.803878784E0,9.904632568E-1,5.488968032E0
6.477656430E-1,5.098968506E0,-1.860092163E0,9.874114990E-1,5.516738543E0
6.501460140E-1,5.107528687E0,-1.910186768E0,9.843597412E-1,5.541175586E0
6.525569030E-1,5.113632202E0,-1.954772949E0,9.782409668E-1,5.561234303E0
6.549372740E-1,5.118530273E0,-1.995086670E0,9.696960449E-1,5.578533266E0
6.573176450E-1,5.123413086E0,-2.031738281E0,9.611358643E-1,5.594738979E0
6.597285340E-1,5.125854492E0,-2.063507080E0,9.525909424E-1,5.607127183E0
6.621089050E-1,5.128906250E0,-2.092208862E0,9.428100586E-1,5.618888507E0
6.644892760E-1,5.129516602E0,-2.117263794E0,9.312133789E-1,5.626891228E0
6.669001640E-1,5.126464844E0,-2.139266968E0,9.202117920E-1,5.630621164E0
6.692805360E-1,5.125854492E0,-2.156967163E0,9.073791504E-1,5.634734114E0
6.716609070E-1,5.120346069E0,-2.171020508E0,8.951568604E-1,5.633167823E0
6.740717950E-1,5.114852905E0,-2.181411743E0,8.823394775E-1,5.630168771E0
6.764521660E-1,5.108139038E0,-2.189346313E0,8.695068359E-1,5.625154562E0
6.788325370E-1,5.098358154E0,-2.191177368E0,8.566894531E-1,5.615018339E0
