"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)",omegaa
3.561401370E-1,4.162597656E-2,-1.797943115E-1,1.007080078E-2,1.848246126E-1
3.585205080E-1,4.772949219E-2,-1.761169434E-1,1.190185547E-2,1.828576942E-1
3.609008790E-1,5.505371094E-2,-1.724548340E-1,1.129150391E-2,1.813810324E-1
3.632812500E-1,5.995178223E-2,-1.706237793E-1,1.190185547E-2,1.812411223E-1
3.656921390E-1,6.605529785E-2,-1.712341309E-1,9.460449219E-3,1.837768485E-1
3.680725100E-1,7.217407227E-2,-1.706237793E-1,7.629394531E-3,1.854178482E-1
3.704528810E-1,7.583618164E-2,-1.694030762E-1,6.408691406E-3,1.857137582E-1
3.728637700E-1,8.193969727E-2,-1.681823730E-1,7.019042969E-3,1.872129578E-1
3.752441410E-1,8.621215820E-2,-1.651306152E-1,9.460449219E-3,1.865211956E-1
3.776245120E-1,9.294128418E-2,-1.620635986E-1,1.312255859E-2,1.872829246E-1
3.800354000E-1,9.843444824E-2,-1.571807861E-1,1.741027832E-2,1.862746841E-1
3.824157720E-1,1.033172607E-1,-1.486206055E-1,2.107238770E-2,1.822267441E-1
3.847961430E-1,1.088256836E-1,-1.419219971E-1,2.351379395E-2,1.803823194E-1
3.872070310E-1,1.106414795E-1,-1.327362061E-1,2.351379395E-2,1.743941968E-1
3.895874020E-1,1.155395508E-1,-1.199188232E-1,2.229309082E-2,1.680086125E-1
3.919677740E-1,1.167602539E-1,-1.058654785E-1,1.863098145E-2,1.587059227E-1
3.943786620E-1,1.185913086E-1,-8.876037598E-2,1.618957520E-2,1.490114263E-1
3.967590330E-1,1.210327148E-1,-7.104492188E-2,1.312255859E-2,1.409556687E-1
3.991394040E-1,1.234893799E-1,-5.332946777E-2,1.252746582E-2,1.350947685E-1
4.015502930E-1,1.277465820E-1,-3.500366211E-2,1.129150391E-2,1.329358629E-1
4.039306640E-1,1.289672852E-1,-1.913452148E-2,1.190185547E-2,1.309211393E-1
4.063110350E-1,1.314086914E-1,-4.470825195E-3,1.190185547E-2,1.320222959E-1
4.086914060E-1,1.332550049E-1,7.125854492E-3,1.252746582E-2,1.340321287E-1
4.111022950E-1,1.363067627E-1,2.117919922E-2,1.556396484E-2,1.388176107E-1
4.134826660E-1,1.387481689E-1,3.096008301E-2,1.496887207E-2,1.429463125E-1
