Time,Pulses,wm,PWM,Vbus
51.602945000000005,30.0,314.1527099609375,220.0,5.000004768371582
51.652951,30.0,314.1213073730469,220.0,5.000004768371582
51.702954000000005,30.0,314.1401672363281,220.0,5.000004768371582
51.752955,31.0,324.6244812011719,220.0,5.000004768371582
51.802955999999995,30.0,314.1527099609375,220.0,5.000004768371582
51.852959999999996,31.0,324.60498046875,220.0,5.000004768371582
51.902964999999995,31.0,324.5985107421875,220.0,5.000004768371582
51.952971000000005,30.0,314.1213073730469,220.0,5.000004768371582
52.002976000000004,30.0,314.1275634765625,220.0,5.000004768371582
52.05297899999999,30.0,314.1401672363281,220.0,5.000004768371582
52.102979000000005,30.0,314.15899658203125,220.0,5.000004768371582
52.152981,30.0,314.1464538574219,220.0,5.000004768371582
52.20298700000001,30.0,314.1213073730469,220.0,5.000004768371582
52.252989,31.0,324.61798095703125,220.0,5.000004768371582
52.302991000000006,30.0,314.1464538574219,220.0,5.000004768371582
52.35299500000001,30.0,314.1338806152344,220.0,5.000004768371582
52.402996,30.0,314.1527099609375,220.0,5.000004768371582
52.452997999999994,30.0,314.1464538574219,220.0,5.000004768371582
52.50300300000001,30.0,314.1275634765625,220.0,5.000004768371582
52.553004,31.0,324.6244812011719,220.0,5.000004768371582
52.60300599999999,30.0,314.1464538574219,220.0,5.000004768371582
52.653006000000005,30.0,314.15899658203125,220.0,5.000004768371582
52.703010000000006,31.0,324.60498046875,220.0,5.000004768371582
52.75301400000001,30.0,314.1338806152344,220.0,5.000004768371582
52.803014000000005,30.0,314.15899658203125,220.0,5.000004768371582
52.853018000000006,30.0,314.1338806152344,220.0,5.000004768371582
52.903024,30.0,314.1213073730469,220.0,5.000004768371582
52.953028,31.0,324.60498046875,220.0,5.000004768371582
53.003029999999995,30.0,314.1464538574219,220.0,5.000004768371582
53.053032,30.0,314.1464538574219,220.0,5.000004768371582
53.103032,31.0,324.6309814453125,220.0,5.000004768371582
53.153035,30.0,314.1401672363281,220.0,5.000004768371582
53.20304,30.0,314.1275634765625,220.0,5.000004768371582
53.253044,30.0,314.1338806152344,220.0,5.000004768371582
53.30304700000001,30.0,314.1401672363281,220.0,5.000004768371582
53.353049,30.0,314.1464538574219,220.0,5.000004768371582
53.403048999999996,30.0,314.15899658203125,220.0,5.000004768371582
53.453050000000005,31.0,324.6244812011719,220.0,5.000004768371582
53.503054000000006,30.0,314.1338806152344,220.0,5.000004768371582
53.553056999999995,30.0,314.1401672363281,220.0,5.000004768371582
53.60306,31.0,324.6114807128906,220.0,5.000004768371582
53.653060999999994,30.0,314.1527099609375,220.0,5.000004768371582
53.703061000000005,31.0,324.6309814453125,220.0,5.000004768371582
53.753062,30.0,314.1527099609375,220.0,5.000004768371582
53.803064000000006,30.0,314.1464538574219,220.0,5.000004768371582
53.853064,30.0,314.15899658203125,220.0,5.000004768371582
53.90306700000001,30.0,314.1401672363281,220.0,5.000004768371582
53.953069,31.0,324.61798095703125,220.0,5.000004768371582
54.003069999999994,29.0,303.68096923828125,220.0,5.000004768371582
54.05307500000001,30.0,314.1275634765625,220.0,5.000004768371582
54.103077,30.0,314.1464538574219,220.0,5.000004768371582
54.153082,31.0,324.5985107421875,220.0,5.000004768371582
54.203081999999995,30.0,314.15899658203125,220.0,5.000004768371582
54.253085999999996,31.0,324.60498046875,220.0,5.000004768371582
54.303088,31.0,324.61798095703125,220.0,5.000004768371582
54.353091000000006,30.0,314.1401672363281,220.0,5.000004768371582
54.403093999999996,31.0,324.6114807128906,220.0,5.000004768371582
54.45309400000001,30.0,314.15899658203125,220.0,5.000004768371582
54.503097,30.0,314.1401672363281,220.0,5.000004768371582
54.553101,31.0,324.60498046875,220.0,5.000004768371582
54.603106,30.0,314.1275634765625,220.0,5.000004768371582
54.653105999999994,30.0,314.15899658203125,220.0,5.000004768371582
54.70311100000001,31.0,324.5985107421875,220.0,5.000004768371582
54.753111000000004,30.0,314.15899658203125,220.0,5.000004768371582
54.803112,31.0,324.6244812011719,220.0,5.000004768371582
54.853117999999995,30.0,314.1213073730469,220.0,5.000004768371582
54.90312,30.0,314.1464538574219,220.0,5.000004768371582
54.953120999999996,31.0,324.6244812011719,220.0,5.000004768371582
55.003125,30.0,314.1338806152344,220.0,5.000004768371582
55.053124999999994,31.0,324.6309814453125,220.0,5.000004768371582
55.103125000000006,31.0,324.6309814453125,220.0,5.000004768371582
55.153127,30.0,314.1464538574219,220.0,5.000004768371582
55.20313,31.0,324.6114807128906,220.0,5.000004768371582
55.253130999999996,30.0,314.1527099609375,220.0,5.000004768371582
55.303133,31.0,324.61798095703125,220.0,5.000004768371582
55.353134999999995,30.0,314.1464538574219,220.0,5.000004768371582
55.403141000000005,30.0,314.1213073730469,220.0,5.000004768371582
55.453143999999995,30.0,314.1401672363281,220.0,5.000004768371582
55.503144000000006,30.0,314.15899658203125,220.0,5.000004768371582
55.553145,31.0,324.6244812011719,220.0,5.000004768371582
55.60315,30.0,314.1275634765625,220.0,5.000004768371582
55.653150999999994,30.0,314.1527099609375,220.0,5.000004768371582
55.70315600000001,30.0,314.1275634765625,220.0,5.000004768371582
55.753157,30.0,314.1527099609375,220.0,5.000004768371582
55.803157,31.0,324.6309814453125,220.0,5.000004768371582
55.85316,30.0,314.1401672363281,220.0,5.000004768371582
55.903161999999995,31.0,324.61798095703125,220.0,5.000004768371582
55.953165,30.0,314.1401672363281,220.0,5.000004768371582
56.00317,31.0,324.5985107421875,220.0,5.000004768371582
56.053172,31.0,324.61798095703125,220.0,5.000004768371582
56.103178,30.0,314.1213073730469,220.0,5.000004768371582
56.153182,30.0,314.1338806152344,220.0,5.000004768371582
56.203182999999996,31.0,324.6244812011719,220.0,5.000004768371582
56.253189000000006,30.0,314.1213073730469,220.0,5.000004768371582
56.303189,31.0,324.6309814453125,220.0,5.000004768371582
56.35319200000001,30.0,314.1401672363281,220.0,5.000004768371582
56.403195999999994,31.0,324.60498046875,220.0,5.000004768371582
56.453199,30.0,314.1401672363281,220.0,5.000004768371582
56.503204999999994,30.0,314.1213073730469,220.0,5.000004768371582
56.553211000000005,30.0,314.1213073730469,220.0,5.000004768371582
